"AN.57515","1.0","1","173.0","35.0","1400.0","590.0",,,,"40.0","6.0"
"AN.57516","1.0","1","172.0","31.0","1250.0","580.0",,,,"38.0","6.0"
"AN.57517","1.0","5","172.8","25.6","1340.0","608.0",,,,"33.4","6.6"
"AN.57518","2.0","1","172.0","28.0","1220.0","585.0","7.0","0.0","30.0","35.0","7.0"
"AN.57519","2.0","1","174.0","25.0","1260.0","575.0","7.0","0.0","50.0","33.0","6.0"
"AN.57523","2.0","1","177.0","30.0","1230.0","600.0","6.0","5.0","70.0","40.0","7.0"
"AN.57524","1.0","1","174.0","35.0","1360.0","570.0",,,,"40.0","7.0"
"AN.57533","2.0","1","177.0","29.0","1240.0","595.0","7.0","0.0","20.0","40.0","6.0"
"AN.57538","2.0","1","178.0","26.0","1190.0","590.0","6.0","5.0","40.0","42.0","7.0"
"AN.57547","2.0","1","170.0","22.0","1210.0","590.0","3.0",,,"28.0","7.0"
"AN.57548","2.0","1","174.0","21.5","1250.0","620.0","6.0",,,"35.0","7.0"
"AN.57549","2.0","2","170.75","27.0","1282.5","602.5","6.5","5.0","60.0","38.0","6.0"
"AN.57556","2.0","1","175.0","28.0","1120.0","585.0","7.0","0.0","40.0","47.0","6.0"
"AN.57557","1.0","1","179.0","42.0","1230.0","570.0",,,,"44.0","6.0"
"AN.57558","1.0","1","177.0","43.0","1140.0","585.0",,,,"47.0","6.0"
"AN.57565","2.0","1","175.0","25.0","1240.0","600.0","5.0","15.0","70.0","47.0","6.0"
"AN.57572","1.0","1","175.0","39.0","1270.0","580.0",,,,"46.0","7.0"
"AN.57573","2.0","1","180.0","22.0","1330.0","635.0","6.0","5.0","50.0","46.0","7.0"
"AN.57581","1.0","1","180.0","44.0","1290.0","580.0",,,,,
"AN.57582","1.0","1","176.0","36.0","1250.0","580.0",,,,"49.0","6.0"
"AN.57583","2.0","1","171.0","24.0","1230.0","610.0","7.0","0.0","30.0","49.0","6.0"
"AN.57584","1.0","2","170.5","31.0","1295.0","595.0",,,,"41.5","6.5"
"AN.57585","2.0","1","179.0","30.0","1170.0","570.0","7.0","0.0","20.0",,
"AN.57589","2.0","1","177.0","25.0","1215.0","615.0","6.0","5.0","50.0","43.0","6.0"
"AN.57591","1.0","2","176.5","29.5","1325.0","595.0",,,,"35.5","5.5"
"AN.57592","2.0","1","171.0","31.0","1230.0","590.0","6.0","10.0","50.0",,
"AN.57594","2.0","1","174.0","31.0","1180.0","590.0","7.0","0.0","20.0",,
"AN.57596","2.0","1","172.5","25.0","1180.0","600.0","5.0","25.0","90.0","38.0","6.0"
"AN.57707","1.0","4","173.25","19.0","1320.0","600.0",,,,"28.5","6.25"
"AN.57708","1.0","1","171.0","21.0","1470.0","595.0",,,,"27.0","8.0"
"AN.57709","1.0","1","178.0","25.0","1590.0","590.0",,,,"30.0","6.0"
"AN.57710","1.0","1","174.0","19.0","1520.0","565.0",,,,"29.0","6.0"
"AN.57711","1.0","1","169.0","22.0","1520.0","590.0",,,,"30.0","6.0"
"AN.57712","1.0","1","171.0","18.0","1570.0","575.0",,,,"28.0","6.0"
"AN.57713","1.0","1","177.0","23.0","1620.0","600.0",,,,"30.0","7.0"
"AN.57714","1.0","3","171.33333","20.333334","1356.6666","598.3333",,,,"28.666666","7.0"
"AN.57715","1.0","4","169.5","15.875","1365.0","588.75",,,,"27.0","6.5"
"AN.57716","1.0","1","176.0","24.0","1510.0","570.0",,,,"31.0","6.0"
"AN.57717","1.0","1","170.0","24.0","1470.0","580.0",,,,"31.0","6.0"
"AN.57719","1.0","6","176.0","16.75","1266.6666","592.5",,,,"30.333334","6.8333335"
"AN.57720","1.0","1","170.0","22.0","1660.0","585.0",,,,"32.0","7.0"
"AN.57721","1.0","1","167.0","28.0","1400.0","595.0",,,,"35.0","5.0"
"AN.57902","2.0","1","182.0","15.0","1240.0","605.0",,,,"34.0","7.0"
"AN.57904","2.0","1","180.0","27.0","1170.0","630.0","6.0","2.0","60.0","35.0","7.0"
"AN.57956","2.0","2","179.0","10.5","1200.0","605.0","4.0","40.0","62.5","32.0","6.5"
"AN.57958","2.0","2","172.0","14.5","1225.0","612.5",,,,"31.0","6.0"
"AN.57960","2.0","3","167.66667","15.5","1200.0","606.6667","5.5","10.0","60.0","33.666668","6.0"
"AN.57963","2.0","1","178.0","22.0","1175.0","620.0","5.0","15.0","70.0","37.0","6.0"
"AN.57964","2.0","1","175.0","21.0","1130.0","615.0","6.0","2.0","50.0","41.0","6.0"
"AN.57965","2.0","1","176.0","24.0","1230.0","620.0","4.0","25.0","30.0",,
"AN.57966","2.0","1","175.0","26.0","1130.0","610.0","7.0","0.0","10.0",,
"AN.57967","2.0","2","170.5","25.0","1185.0","620.0","6.0","5.0","45.0",,
"AN.57971","2.0","2","178.5","23.0","1255.0","615.0","7.0","0.0","25.0","45.0","6.0"
"AN.57972","2.0","1","164.0","21.0","1170.0","605.0","7.0","0.0","40.0",,
"AN.57973","2.0","2","176.0","19.0","1235.0","605.0","4.0","30.0","50.0","30.0","7.0"
"AN.57974","2.0","1","173.0","21.0","1280.0","612.5","6.0","5.0","40.0","36.0","7.0"
"AN.57976","1.0","1","177.0","14.0","1670.0","600.0",,,,"27.0","7.0"
"AN.57977","1.0","1","171.0","18.0","1410.0","590.0",,,,"29.0","7.0"
"AN.57978","1.0","1","170.0","21.0","1440.0","560.0",,,,"29.0","7.0"
"AN.57981","1.0","1","177.0","24.0","1510.0","605.0",,,,"29.0","8.0"
"AN.57982","1.0","2","176.0","22.0","1385.0","595.0",,,,"28.0","8.5"
"AN.57983","1.0","1","168.0","28.0","1470.0","600.0",,,,"33.0","7.0"
"AN.57984","1.0","1","174.0","28.0","1550.0","605.0",,,,"34.0","7.0"
"AN.57985","1.0","1","177.0","29.0","1590.0","590.0",,,,"34.0","7.0"
"AN.57986","1.0","1","170.0","26.0","1550.0","600.0",,,,"33.0","7.0"
"AN.57987","1.0","1","172.0","29.0","1380.0","610.0",,,,"36.0","6.0"
"AN.57988","1.0","1","168.0","31.0","1570.0","590.0",,,,"37.0","6.0"
"AN.57989","1.0","1","177.0","30.0","1470.0","590.0",,,,"35.0","7.0"
"AN.57990","1.0","1","174.0","31.0","1540.0","600.0",,,,"37.0","6.0"
"AN.57991","1.0","1","169.0","20.0","1530.0","620.0",,,,"30.0","7.0"
"AN.57992","1.0","1","166.0","26.0","1350.0","600.0",,,,"32.0","5.0"
"AN.57993","1.0","2","180.5","22.5","1400.0","610.0",,,,"30.0","6.5"
"AN.57994","1.0","1","183.0","25.0","1360.0","600.0",,,,"31.0","7.0"
"AN.57995","1.0","2","179.5","25.0","1320.0","590.0",,,,"31.0","6.5"
"AN.57996","1.0","1","174.0","20.0","1470.0","630.0",,,,"31.0","7.0"
"AN.57997","1.0","1","166.0","24.0","1410.0","630.0",,,,"31.0","7.0"
"AN.57998","1.0","1","173.0","24.0","1460.0","605.0",,,,"31.0","7.0"
"AN.57999","1.0","1","178.0","26.0","1530.0","615.0",,,,"32.0","6.0"
"AN.58000","1.0","1","177.0","24.0","1690.0","615.0",,,,"31.0","7.0"
"AN.58001","2.0","1","175.0","9.0","1165.0","592.5","5.0",,,"27.0","7.0"
"AN.58004","1.0","1","180.0","20.0","1670.0","585.0",,,,"26.0","6.0"
"AN.58006","1.0","1","173.0","21.0","1445.0","585.0",,,,"38.0","6.0"
"AN.58016","1.0","1","177.5","21.0","1427.5","595.0",,,,"29.0","5.0"
"AN.58017","1.0","2","178.5","23.0","1463.75","582.5",,,,"29.5","7.5"
"AN.58018","1.0","1","179.66667","20.0","1416.6666","593.3333",,,,"28.0","7.0"
"AN.58019","1.0","1","177.0","16.0","1715.0","600.0",,,,"28.0","7.0"
"AN.58021","1.0","1","184.0","23.0","1645.0","575.0",,,,"30.0","7.0"
"AN.58022","1.0","1","178.0","22.0","1640.0","590.0",,,,"30.0","6.0"
"AN.58023","1.0","1","178.0","18.0","1535.0","595.0",,,,"27.0","6.0"
"AN.58037","1.0","1","175.0","24.5","1650.0","590.0",,,,"31.0","5.0"
"AN.58038","1.0","1","180.0","19.0","1460.0","580.0",,,,"26.0","7.0"
"AN.58099","1.0","2","177.0","23.5","1361.25","585.0",,,,"37.0","6.5"
"AN.58100","1.0","2","175.25","26.0","1463.75","578.75",,,,"35.0","6.5"
"AN.58162","1.0","1","170.0","19.0","1226.6666","588.3333",,,,"32.0","5.0"
"AN.58167","1.0","1","173.0","25.0","1525.0","580.0",,,,"33.0","6.0"
"AN.58168","1.0","1","179.5","24.0","1225.0","595.0",,,,"31.0","7.0"
"AN.58177","1.0","1","175.0","25.0","1405.0","595.0",,,,"32.0","5.0"
"AN.58178","2.0","4","175.25","12.0","1287.5","615.0","3.75","70.0","71.25","31.0","6.0"
"AN.58202","1.0","5","174.0","22.8","1369.0","599.0",,,,"33.8","6.8"
"AN.58288","1.0","2","174.0","31.5","1440.0","587.5",,,,"37.5","7.5"
