"AN.57158","2009.0","2.0","1250.0","600.0","178.0","28.5","7","0","80","38.0","6.0","6.0","1","0","7.0","2"
"AN.57164","2008.0","2.0","1180.0","600.0","183.0","25.0","7","0","40","35.0","7.0","6.0","2","1","5.0","1"
"AN.57164","2009.0","2.0","1300.0","610.0","183.0","18.0",,,,"30.0","7.0","7.0",,"0","7.0","2"
"AN.57171","2008.0","1.0","1270.0","590.0","168.0","34.0",,,,"38.0","6.0","6.0","0","0","5.0","1"
"AN.57200","2009.0","2.0","1170.0","610.0","178.0","32.0","7","0","50",,,,"0","0","5.0","1"
"AN.57202","2008.0","2.0","1250.0","580.0","170.0","33.5","7",,,"43.0","6.0","5.0","0","1","5.0","1"
"AN.57202","2009.0","2.0","1230.0","620.0","167.0","29.0","7","0","15","44.0","6.0","3.0","0","0","7.0","2"
"AN.57206","2007.0","2.0","1180.0","600.0","174.0","25.0","7","0","30","33.0","6.0","1.0",,"1","5.0","1"
"AN.57206","2008.0","2.0","1180.0","620.0","170.0","22.0","7","0","40","36.0","7.0","5.0",,"0","7.0","2"
"AN.57207","2007.0","1.0","1250.0","595.0","169.0","26.0",,,,"33.0","6.0","1.0",,"0","5.0","1"
"AN.57214","2007.0","1.0","1450.0","575.0","170.0","35.0",,,,"41.0","5.0","5.0",,"0","5.0","1"
"AN.57215","2007.0","2.0","1160.0","585.0","176.0","23.0","7","0","50","32.0","7.0","7.0","0","1","5.0","1"
"AN.57215","2008.0","2.0","1220.0","610.0","177.0","14.0","7","0","50","29.0","6.0","4.0","0","0","7.0","2"
"AN.57216","2007.0","2.0","1170.0","600.0","168.0","21.0","7","0","40","30.0","6.0","6.0","0","1","4.0","1"
"AN.57217","2007.0","2.0","1170.0","600.0","178.0","14.0","6","2","40","28.0","5.0","5.0","0","1","5.0","1"
"AN.57218","2007.0","2.0","1270.0","580.0","177.0","23.0","6","5","50","32.0","6.0","6.0","0","0","5.0","1"
"AN.57219","2007.0","2.0","1170.0","610.0","168.0","16.0","4","50","60","28.0","7.0","4.0","0","0","5.0","1"
"AN.57220","2007.0","1.0","1270.0","605.0","173.0","26.0",,,,"32.0","6.0","6.0","0","0","5.0","1"
"AN.57221","2007.0","1.0","1270.0","575.0","176.0","18.0",,,,"28.0","7.0","4.0","0","0","6.0","2"
"AN.57222","2007.0","1.0","1190.0","585.0","171.0","28.0",,,,"33.0","6.0","5.0","0","1","5.0","1"
"AN.57222","2008.0","1.0","1400.0","580.0","168.0","18.0",,,,"28.0","6.0","6.0","0","1","7.0","2"
"AN.57222","2009.0","1.0","1270.0","600.0","169.0","17.0",,,,"24.0","6.0","6.0","0","1","9.0","2"
"AN.57223","2007.0","1.0","1430.0","590.0","175.0","34.0",,,,"40.0","6.0","6.0",,"0","5.0","1"
"AN.57225","2007.0","1.0","1170.0","600.0","168.0","21.0",,,,"27.0","7.0","7.0","0","0","6.0","2"
"AN.57233","2007.0","2.0","1340.0","615.0","179.0","19.0","4","35","50","30.0","6.0","6.0","1","1","5.0","1"
"AN.57233","2008.0","2.0","1360.0","635.0","180.0","25.0","5","20","50",,,,"0","0","7.0","2"
"AN.57234","2007.0","1.0","1310.0","590.0","176.0","26.0",,,,"33.0","7.0","4.0","0","0","5.0","1"
"AN.57235","2007.0","2.0","1270.0","600.0","176.0","16.0","7","0","30","32.0","7.0","7.0","0","0","5.0","1"
"AN.57236","2007.0","2.0","1140.0","600.0","177.0","23.0","7","0","50","30.0","7.0","7.0","0","0","5.0","1"
"AN.57241","2010.0","1.0","1280.0","610.0","172.0","23.0",,,,,,,,"1","9.0","2"
"AN.57243","2007.0","1.0","1470.0","580.0","174.0","42.0",,,,"47.0","6.0","6.0","0","0","4.0","1"
"AN.57244","2007.0","2.0","1230.0","585.0","166.0","18.0","6","10","50","30.0","6.0","3.0","1","1","5.0","1"
"AN.57244","2009.0","2.0","1230.0","605.0","168.0","22.0",,,,"40.0","6.0","6.0","0","1","9.0","2"
"AN.57245","2007.0","1.0","1250.0","585.0","179.0","31.0",,,,"34.0","5.0","5.0","0","0","6.0","2"
"AN.57246","2007.0","2.0","1280.0","590.0","168.0","16.0","7","0","40","32.0","5.0","5.0","0","1","5.0","1"
"AN.57246","2008.0","2.0","1280.0","585.0","168.0","23.0",,,,"31.0","7.0","6.0","0","1","7.0","2"
"AN.57246","2009.0","2.0","1280.0","625.0","168.0","15.0","5","20","55","34.0","8.0","3.0","0","1","9.0","2"
"AN.57246","2010.0","2.0","1310.0","630.0","170.0","23.0","5","20","60","37.0","6.0","4.0","0","0","11.0","2"
"AN.57247","2007.0","2.0","1180.0","580.0","169.0","17.0","7","0","30","32.0","6.0","6.0","0","1","6.0","2"
"AN.57247","2008.0","2.0","1230.0","595.0","170.0","27.0","7",,,"37.0","7.0","7.0","1","0","8.0","2"
"AN.57248","2007.0","2.0","1250.0","590.0","177.0","27.0","7","0","40","34.0","5.0","5.0","0","0","6.0","2"
"AN.57249","2007.0","1.0","1280.0","610.0","186.0","29.0",,,,"34.0","7.0","7.0","0","0","6.0","2"
"AN.57250","2007.0","1.0","1320.0","595.0","179.0","24.0",,,,"32.0","7.0","5.0","1","1","6.0","2"
"AN.57250","2008.0","1.0","1480.0","590.0","178.0","33.0",,,,"38.0","7.0","7.0",,"0","8.0","2"
"AN.57251","2007.0","2.0","1230.0","585.0","176.0","24.0","6","5","50","32.0","7.0","5.0","1","0","5.0","1"
"AN.57252","2007.0","2.0","1230.0","590.0","170.0","27.0","6","5","55","34.0","7.0","7.0","0","0","5.0","1"
"AN.57253","2007.0","2.0","1250.0","605.0","176.0","24.0","7","10","20","33.0","5.0","3.0","0","0","5.0","1"
